Date,Open,High,Low,Close,Adj Close,Volume
1999-09-30,8.825,8.825,8.7,8.725,4.591025,2217000
1999-10-01,8.725,8.725,8.625,8.675,4.564714,1606000
1999-10-04,8.65,8.725,8.65,8.7,4.577869000000001,2677200
1999-10-05,8.625,8.75,8.625,8.65,4.55156,1749800
1999-10-06,8.7,8.7,8.625,8.7,4.577869000000001,1775000
1999-10-07,8.65,8.725,8.575,8.625,4.538409,2148600
1999-10-08,8.625,8.75,8.5,8.575,4.512096,967200
1999-10-12,8.5,8.65,8.475,8.625,4.538409,2677000
1999-10-13,8.55,8.725,8.55,8.6,4.525251,3018600
1999-10-14,8.675,8.675,8.5,8.65,4.55156,1050600
1999-10-15,8.625,8.625,8.5,8.575,4.512096,1625200
1999-10-18,8.55,8.7,8.55,8.7,4.577869000000001,1468000
1999-10-19,8.75,9.025,8.75,9.0,4.735727,3350000
1999-10-20,9.0,9.15,8.85,8.875,4.669955,1886800
1999-10-21,8.875,8.9,8.8,8.85,4.656801000000001,2145800
1999-10-22,8.85,8.85,8.75,8.825,4.643644,1935000
1999-10-25,8.825,9.0,8.8,8.925,4.696264,910400
1999-10-26,8.95,9.1,8.9,9.1,4.788348,4218400
1999-10-27,9.025,9.1,9.0,9.025,4.748883,1221400
1999-10-28,9.1,9.125,8.975,8.975,4.722572,2481800
1999-10-29,9.05,9.05,8.625,8.85,4.656801000000001,1940600
1999-11-01,8.825,8.875,8.75,8.85,4.656801000000001,2259400
1999-11-02,8.85,8.975,8.825,8.975,4.722572,1690400
1999-11-03,9.0,9.05,8.975,9.025,4.748883,1838200
1999-11-04,9.025,9.125,9.0,9.1,4.788348,2165000
1999-11-05,9.125,9.2,9.075,9.15,4.814655,2723600
1999-11-08,9.125,9.15,9.05,9.05,4.762037,1946200
1999-11-09,9.025,9.075,8.975,9.075,4.77519,1146000
1999-11-10,9.025,9.175,9.0,9.125,4.8015,2116800
1999-11-11,9.125,9.875,9.1,9.8,5.156682,2262600
1999-11-12,9.875,10.075,9.75,9.95,5.235608999999999,2585600
1999-11-15,10.05,10.5,9.7,10.5,5.525016,1442800
1999-11-16,10.55,10.55,10.05,10.15,5.340847,3353400
1999-11-17,10.125,10.2,9.775,9.975,5.248768,13716800
1999-11-18,10.0,10.1,9.825,9.9,5.209299,2607400
1999-11-19,9.9,9.925,9.5,9.6,5.051442,7155600
1999-11-22,9.625,9.625,9.425,9.5,4.998823000000001,2753600
1999-11-23,9.525,9.575,9.45,9.525,5.011977,5849400
1999-11-24,9.525,9.525,9.275,9.4,4.946207,1474400
1999-11-25,9.475,9.7,9.425,9.675,5.090909,1624600
1999-11-26,9.675,9.675,9.45,9.5,4.998823000000001,2418400
1999-11-29,9.475,9.575,9.425,9.525,5.011977,1965200
1999-11-30,9.5,9.575,9.45,9.45,4.972514,2268000
1999-12-01,9.5,9.5,9.35,9.4,4.946207,1801800
1999-12-02,9.425,9.5,9.375,9.45,4.972514,956600
1999-12-03,9.5,9.6,9.45,9.525,5.011977,2480800
1999-12-06,9.55,9.55,9.4,9.475,4.985671,2274600
1999-12-07,9.525,9.525,9.375,9.4,4.946207,3457000
1999-12-08,9.4,9.425,9.275,9.3,4.893587,2652400
1999-12-09,9.35,9.375,9.25,9.275,4.880431,2418800
1999-12-10,9.3,9.35,9.25,9.275,4.880431,2664000
1999-12-13,9.325,9.325,9.2,9.225,4.85412,3039800
1999-12-14,9.25,9.375,9.175,9.25,4.867273,4015600
1999-12-15,9.275,9.3,9.15,9.225,4.85412,1732400
1999-12-16,9.25,9.325,9.225,9.25,4.867273,941600
1999-12-17,9.275,9.4,9.25,9.35,4.919897,2336400
1999-12-20,9.375,9.4,9.275,9.375,4.93305,913800
1999-12-21,9.35,9.35,9.25,9.25,4.867273,1077000
1999-12-22,9.25,9.375,9.15,9.275,4.880431,789200
1999-12-23,9.25,9.275,9.05,9.15,4.814655,2259600
1999-12-24,9.2,9.3,9.125,9.25,4.867273,809400
1999-12-29,9.0,9.25,8.95,9.025,4.748883,1772000
1999-12-30,9.025,9.075,8.95,9.0,4.735727,698800
1999-12-31,9.025,9.225,9.0,9.225,4.85412,1017600
2000-01-04,8.75,9.0,8.7,8.925,4.696264,3415400
2000-01-05,8.95,9.025,8.85,9.0,4.735727,3994800
2000-01-06,9.0,9.1,8.975,9.0,4.735727,1700600
2000-01-07,9.125,9.125,8.95,9.0,4.735727,2085200
2000-01-10,9.05,9.05,8.95,9.0,4.735727,4040800
2000-01-11,9.025,9.025,8.875,8.95,4.709417,3152400
2000-01-12,9.0,9.0,8.8,8.9,4.683109,1933400
2000-01-13,8.875,8.95,8.8,8.9,4.683109,2763400
2000-01-14,8.925,9.025,8.9,8.9,4.683109,1957200
2000-01-17,9.0,9.275,8.95,9.225,4.85412,2053200
2000-01-18,9.175,9.175,9.0,9.0,4.735727,2703200
2000-01-19,9.075,9.075,8.8,8.85,4.656801000000001,1569400
2000-01-20,8.925,9.05,8.85,8.9,4.683109,2000800
2000-01-21,8.95,8.95,8.75,8.825,4.643644,985800
2000-01-24,8.825,8.85,8.475,8.6,4.525251,3734000
2000-01-25,8.6,8.675,8.5,8.6,4.525251,1133000
2000-01-26,8.65,8.7,8.525,8.625,4.538409,899600
2000-01-27,8.675,8.825,8.6,8.75,4.60418,1218600
2000-01-28,8.75,8.75,8.55,8.6,4.525251,1537600
2000-01-31,8.7,8.85,8.6,8.75,4.60418,1169800
2000-02-01,8.75,8.75,8.575,8.65,4.55156,1631600
2000-02-02,8.7,8.725,8.525,8.625,4.538409,1410400
2000-02-03,8.65,8.65,8.4,8.625,4.538409,2292600
2000-02-04,8.675,8.675,8.5,8.6,4.525251,2067600
2000-02-07,8.6,8.6,8.475,8.475,4.459477,2837200
2000-02-08,8.5,8.5,8.4,8.4,4.420013,2240800
2000-02-09,8.4,8.6,8.4,8.5,4.472632,2497000
2000-02-10,8.5,8.575,8.4,8.525,4.485784,1454000
2000-02-11,8.55,8.575,8.475,8.575,4.512096,2079600
2000-02-14,8.6,8.7,8.5,8.675,4.564714,1412600
2000-02-15,8.65,8.675,8.5,8.525,4.485784,1916800
2000-02-16,8.575,8.575,8.4,8.575,4.512096,2281400
2000-02-17,8.625,8.65,8.3,8.475,4.459477,3360600
2000-02-18,8.475,8.5,8.3,8.325,4.380548999999999,3603200
2000-02-21,8.375,8.4,8.175,8.175,4.3016190000000005,1909600
2000-02-22,8.175,8.25,7.625,7.925,4.170071,3787600
2000-02-23,7.95,8.05,7.775,8.025,4.22269,2469800
2000-02-24,8.025,8.05,7.9,8.025,4.22269,1877200
2000-02-25,8.025,8.05,7.9,8.025,4.22269,1300200
2000-02-28,8.0,8.6,7.975,8.575,4.512096,2531400
2000-02-29,8.65,9.1,8.5,8.95,4.709417,3710600
2000-03-01,8.95,8.95,8.5,8.75,4.60418,2319000
2000-03-02,8.7,8.875,8.65,8.7,4.577869000000001,2093400
2000-03-03,8.675,8.7,8.6,8.65,4.55156,3272600
2000-03-06,8.625,8.775,8.6,8.75,4.60418,2228600
2000-03-07,8.675,8.8,8.675,8.725,4.591025,1631600
2000-03-08,8.725,8.9,8.7,8.875,4.669955,2758400
2000-03-09,8.875,9.075,8.75,9.05,4.762037,2822600
2000-03-10,9.05,9.075,8.975,8.975,4.722572,3052600
2000-03-13,8.75,8.975,8.75,8.95,4.709417,1316600
2000-03-14,8.95,8.975,8.9,8.925,4.696264,3064400
2000-03-15,8.875,9.1,8.85,9.1,4.788348,1512200
2000-03-16,9.125,9.75,9.0,9.55,5.08097,6060200
2000-03-17,9.625,9.975,9.55,9.95,5.293782,4005200
2000-03-20,9.95,10.15,9.825,10.15,5.400191,5245400
2000-03-21,10.075,10.3,9.875,9.925,5.2804839999999995,1770800
2000-03-22,9.9,10.35,9.8,10.325,5.493296,4434000
2000-03-23,10.25,10.675,10.125,10.475,5.573104,4154200
2000-03-24,10.5,10.55,10.075,10.225,5.440093,2125400
2000-03-27,10.275,10.275,10.075,10.15,5.400191,2612400
2000-03-28,10.05,10.15,10.025,10.125,5.386889,2666000
2000-03-29,10.125,10.525,10.125,10.325,5.493296,2139600
2000-03-30,10.25,10.55,10.2,10.4,5.533201999999999,3810400
2000-03-31,10.45,10.725,10.3,10.65,5.6662099999999995,4813800
2000-04-03,10.675,10.975,10.625,10.85,5.7726180000000005,2945400
2000-04-04,10.925,11.075,10.425,10.725,5.7061150000000005,5228800
2000-04-05,10.575,10.875,10.575,10.75,5.719412999999999,3362000
2000-04-06,10.85,11.25,10.775,11.225,5.972133,5373400
2000-04-07,11.4,11.5,10.925,11.25,5.985432,30860000
2000-04-10,11.125,11.125,10.85,10.85,5.7726180000000005,14304200
2000-04-11,10.7,10.975,10.625,10.95,5.8258209999999995,3753000
2000-04-12,10.925,11.375,10.85,11.25,5.985432,4610400
2000-04-13,11.4,12.0,11.4,11.4,6.06524,4672800
2000-04-14,11.225,11.45,11.15,11.2,5.958833,3896600
2000-04-17,11.2,11.325,11.0,11.25,5.985432,2221000
2000-04-18,11.325,11.8,11.25,11.8,6.278052,6175000
2000-04-19,11.75,11.75,11.325,11.425,6.078542,1620400
2000-04-20,11.375,11.65,11.375,11.5,6.1184400000000005,1855000
2000-04-24,11.45,11.625,11.375,11.6,6.171648,1129400
2000-04-25,11.525,11.75,11.525,11.675,6.211551999999999,1907000
2000-04-26,11.675,11.975,11.6,11.975,6.371165,3330200
2000-04-27,11.625,11.95,11.625,11.725,6.23815,1816600
2000-04-28,11.7,11.75,11.45,11.625,6.184948,1311000
2000-05-01,11.525,11.725,11.45,11.525,6.131743,1285800
2000-05-02,11.55,11.85,11.5,11.55,6.145046,2150800
2000-05-03,11.525,11.95,11.525,11.85,6.304658,2814800
2000-05-04,11.85,11.85,11.65,11.775,6.264752,1732200
2000-05-05,11.625,11.75,11.625,11.7,6.224854,1353600
2000-05-08,11.675,11.7,11.5,11.525,6.131743,1330800
2000-05-09,11.525,11.85,11.45,11.65,6.198249,1967800
2000-05-10,11.625,12.15,11.625,11.7,6.224854,2092600
2000-05-11,11.7,11.75,11.5,11.575,6.1583440000000005,1523600
2000-05-12,11.6,11.7,11.525,11.575,6.1583440000000005,4772400
2000-05-15,11.6,11.85,11.5,11.775,6.264752,2624600
2000-05-16,11.75,12.2,11.75,12.2,6.49087,2812800
2000-05-17,12.05,12.05,11.725,11.725,6.23815,2813800
2000-05-18,11.725,12.35,11.7,11.975,6.371165,5021400
2000-05-19,11.95,12.5,11.925,12.425,6.610580000000001,2628600
2000-05-23,12.25,13.2,12.175,12.825,6.823394,4712800
2000-05-24,13.0,13.65,12.95,13.4,7.1293169999999995,6101200
2000-05-25,13.5,13.5,12.7,13.15,6.996307000000001,5074800
2000-05-26,13.1,13.1,12.8,12.9,6.863295,3361000
2000-05-29,12.7,13.0,12.575,13.0,6.9165,1313400
