Date,Open,High,Low,Close,Adj Close,Volume
1995-01-12,4.625,4.625,4.565,4.625,0.9099360000000001,257200
1995-01-13,4.625,4.69,4.565,4.565,0.8981319999999999,49600
1995-01-16,4.625,4.625,4.565,4.625,0.9099360000000001,263800
1995-01-17,4.565,4.625,4.5,4.565,0.8981319999999999,150000
1995-01-18,4.5,4.69,4.5,4.69,0.922725,1961400
1995-01-19,4.565,4.625,4.565,4.625,0.9099360000000001,278000
1995-01-20,4.5,4.565,4.44,4.565,0.8981319999999999,142400
1995-01-23,4.44,4.44,4.25,4.375,0.860751,227600
1995-01-24,4.44,4.5,4.375,4.5,0.885343,600800
1995-01-25,4.375,4.5,4.375,4.375,0.860751,506200
1995-01-26,4.375,4.44,4.315,4.315,0.8489459999999999,245600
1995-01-27,4.44,4.5,4.44,4.44,0.873539,801200
1995-01-30,4.5,4.5,4.375,4.375,0.860751,268600
1995-01-31,4.375,4.5,4.375,4.44,0.873539,549400
1995-02-01,4.5,4.625,4.44,4.44,0.873539,362200
1995-02-02,4.5,4.565,4.44,4.5,0.885343,61400
1995-02-03,4.565,4.69,4.565,4.69,0.922725,296600
1995-02-06,4.625,4.69,4.625,4.69,0.922725,105000
1995-02-07,4.69,4.75,4.625,4.69,0.922725,130800
1995-02-08,4.69,4.75,4.625,4.625,0.9099360000000001,83200
1995-02-09,4.625,4.875,4.625,4.815,0.947317,875400
1995-02-10,4.875,4.875,4.75,4.75,0.934529,1123400
1995-02-13,4.75,4.75,4.69,4.69,0.922725,307800
1995-02-14,4.69,4.75,4.625,4.69,0.922725,109400
1995-02-15,4.69,4.815,4.69,4.815,0.947317,2152000
1995-02-16,4.75,4.75,4.69,4.69,0.922725,95800
1995-02-17,4.69,4.75,4.625,4.69,0.922725,215200
1995-02-20,4.69,4.75,4.69,4.69,0.922725,150200
1995-02-21,4.75,4.75,4.69,4.69,0.922725,109600
1995-02-22,4.69,4.75,4.625,4.75,0.934529,376000
1995-02-23,4.75,4.815,4.75,4.75,0.934529,257200
1995-02-24,4.815,4.875,4.75,4.815,0.947317,691000
1995-02-27,4.75,4.94,4.75,4.875,0.9591219999999999,286000
1995-02-28,4.875,5.0,4.815,4.875,0.9591219999999999,620400
1995-03-01,4.875,4.875,4.815,4.875,0.9591219999999999,983600
1995-03-02,4.875,4.875,4.815,4.875,0.9591219999999999,247000
1995-03-03,4.815,4.875,4.815,4.875,0.9591219999999999,192600
1995-03-06,4.875,4.875,4.75,4.875,0.9591219999999999,60400
1995-03-07,4.815,4.875,4.75,4.875,0.9591219999999999,70200
1995-03-08,4.815,4.875,4.815,4.875,0.9591219999999999,56200
1995-03-09,4.875,4.875,4.815,4.875,0.9591219999999999,54600
1995-03-10,4.815,4.875,4.815,4.815,0.947317,149800
