Date,Open,High,Low,Close,Adj Close,Volume
1995-01-12,4.6575,4.72,4.6575,4.6875,1.488041,503600
1995-01-13,4.6875,4.72,4.625,4.6875,1.488041,333200
1995-01-16,4.625,4.6575,4.595,4.625,1.4682,444800
1995-01-17,4.595,4.595,4.5325,4.5325,1.438836,132800
1995-01-18,4.5625,4.5625,4.47,4.5325,1.438836,556400
1995-01-19,4.47,4.5325,4.47,4.47,1.418995,192000
1995-01-20,4.4375,4.4375,4.345,4.375,1.388838,288800
1995-01-23,4.4075,4.4375,4.3125,4.4375,1.408678,158400
1995-01-24,4.4375,4.5325,4.4075,4.47,1.418995,234800
1995-01-25,4.5,4.5625,4.5,4.5325,1.438836,812800
1995-01-26,4.5325,4.5325,4.4375,4.47,1.418995,273600
1995-01-27,4.47,4.47,4.3125,4.345,1.379314,493200
1995-01-30,4.4075,4.4075,4.3125,4.375,1.388838,494400
1995-01-31,4.375,4.375,4.3125,4.375,1.388838,195200
1995-02-01,4.375,4.4075,4.345,4.345,1.379314,506400
1995-02-02,4.4075,4.4375,4.375,4.4375,1.408678,201200
1995-02-03,4.4375,4.4375,4.375,4.4375,1.408678,806400
1995-02-06,4.4375,4.47,4.4075,4.47,1.418995,228400
1995-02-07,4.47,4.5325,4.47,4.5325,1.438836,190400
1995-02-08,4.5,4.5625,4.5,4.5625,1.448359,55200
1995-02-09,4.5625,4.5625,4.47,4.5325,1.438836,247600
1995-02-10,4.5,4.5325,4.5,4.5,1.428518,26800
1995-02-13,4.5325,4.5325,4.47,4.5,1.428518,76400
1995-02-14,4.5,4.5325,4.47,4.47,1.418995,69600
1995-02-15,4.5,4.5,4.47,4.47,1.418995,538000
1995-02-16,4.47,4.5,4.4375,4.47,1.418995,2348400
1995-02-17,4.47,4.5325,4.4375,4.4375,1.408678,118800
1995-02-20,4.47,4.47,4.4075,4.4375,1.408678,81600
1995-02-21,4.47,4.5,4.4075,4.47,1.418995,177600
1995-02-22,4.4375,4.47,4.4375,4.47,1.418995,42800
1995-02-23,4.47,4.625,4.47,4.595,1.458676,1412000
1995-02-24,4.5625,4.625,4.5625,4.5625,1.448359,133200
1995-02-27,4.5625,4.595,4.5625,4.5625,1.448359,136800
1995-02-28,4.625,4.625,4.5625,4.625,1.4682,178800
1995-03-01,4.625,4.6875,4.595,4.6575,1.478517,144400
1995-03-02,4.6875,4.72,4.6575,4.72,1.498358,362000
