Date,Open,High,Low,Close,Adj Close,Volume
1995-01-12,6.6875,6.72,6.5325,6.5625,1.413725,3244400
1995-01-13,6.625,6.6575,6.5,6.625,1.427189,3499200
1995-01-16,6.72,6.75,6.6875,6.75,1.454117,4097200
1995-01-17,6.6575,6.6875,6.5325,6.6575,1.4341899999999999,3227200
1995-01-18,6.5325,6.72,6.5,6.72,1.447654,4242400
1995-01-19,6.6575,6.72,6.6575,6.6875,1.505629,977600
1995-01-20,6.6575,6.6575,6.5625,6.625,1.491557,1712400
1995-01-23,6.5625,6.595,6.47,6.5625,1.477486,1274800
1995-01-24,6.595,6.72,6.5625,6.6875,1.505629,1775200
1995-01-25,6.6875,6.9075,6.6875,6.875,1.547842,6105200
1995-01-26,6.8125,6.9075,6.75,6.7825,1.527017,2628800
1995-01-27,6.8125,6.845,6.72,6.75,1.519699,2976000
1995-01-30,6.72,6.8125,6.6875,6.72,1.512945,2864800
1995-01-31,6.75,6.875,6.75,6.875,1.547842,4240400
1995-02-01,6.875,6.97,6.845,6.875,1.547842,3376800
1995-02-02,6.845,6.9375,6.8125,6.9375,1.561914,1088000
1995-02-03,6.97,7.0625,6.9375,7.0,1.575985,5730000
1995-02-06,6.97,7.095,6.97,7.0,1.575985,3242000
1995-02-07,7.0,7.0,6.9075,6.9375,1.561914,1545600
1995-02-08,6.9075,7.0,6.875,6.97,1.56923,2406800
1995-02-09,6.97,7.095,6.97,7.0,1.575985,4827600
1995-02-10,6.9375,7.0,6.875,6.9375,1.561914,800000
1995-02-13,6.9075,6.9075,6.845,6.875,1.547842,663200
1995-02-14,6.9375,7.0,6.875,6.97,1.56923,1876000
1995-02-15,6.97,7.095,6.97,7.095,1.597373,2712400
1995-02-16,7.0625,7.095,6.9375,6.9375,1.561914,4535200
1995-02-17,6.9375,7.0,6.9075,6.97,1.56923,1484800
1995-02-20,6.9375,7.0,6.9375,6.97,1.56923,813200
1995-02-21,7.0,7.0625,7.0,7.0325,1.583302,1516000
1995-02-22,7.0,7.095,7.0,7.095,1.597373,1683600
1995-02-23,7.125,7.22,7.125,7.1575,1.611444,4170000
