Date,Open,High,Low,Close,Adj Close,Volume
1995-01-12,5.095,5.095,5.0,5.0325,0.945858,4034000
1995-01-13,5.095,5.095,4.97,5.0625,0.9514959999999999,4969200
1995-01-16,5.095,5.125,5.0625,5.125,0.9632440000000001,2394800
1995-01-17,5.0325,5.095,5.0,5.095,0.9576049999999999,4424000
1995-01-18,5.0625,5.095,5.0,5.0625,0.9514959999999999,6286000
1995-01-19,5.0325,5.0625,5.0,5.0325,0.945858,1482800
1995-01-20,5.0325,5.0325,4.9375,4.97,0.934111,2541600
1995-01-23,4.9375,4.97,4.875,4.9375,0.928003,1876800
1995-01-24,4.9375,5.0625,4.9375,5.0625,0.9514959999999999,1814400
1995-01-25,5.0625,5.1575,5.0325,5.125,0.9632440000000001,2112400
1995-01-26,5.125,5.125,5.0625,5.095,0.9576049999999999,1591200
1995-01-27,5.095,5.125,5.0625,5.095,0.9576049999999999,808000
1995-01-30,5.095,5.1575,5.0325,5.0625,0.9514959999999999,984800
1995-01-31,5.125,5.22,5.095,5.22,0.9810989999999999,5288800
1995-02-01,5.25,5.2825,5.1575,5.1575,0.969352,3941200
1995-02-02,5.1575,5.1875,5.125,5.1875,0.9749899999999999,501200
1995-02-03,5.3125,5.375,5.2825,5.345,1.004593,5333600
1995-02-06,5.3125,5.4375,5.3125,5.4375,1.0219770000000001,2998000
1995-02-07,5.4075,5.4075,5.345,5.4075,1.0163389999999999,1894400
1995-02-08,5.375,5.47,5.345,5.4375,1.0219770000000001,3349600
1995-02-09,5.4375,5.5325,5.4075,5.4375,1.0219770000000001,4992400
1995-02-10,5.4075,5.4375,5.375,5.4075,1.0163389999999999,2092000
1995-02-13,5.375,5.4075,5.3125,5.345,1.004593,1074400
1995-02-14,5.4075,5.47,5.375,5.47,1.028086,2312000
1995-02-15,5.47,5.595,5.47,5.5625,1.045472,4558800
1995-02-16,5.5625,5.5625,5.4375,5.4375,1.0219770000000001,1271600
1995-02-17,5.4075,5.4375,5.375,5.375,1.0102309999999999,1399600
1995-02-20,5.375,5.4075,5.345,5.375,1.0102309999999999,1071200
1995-02-21,5.375,5.4375,5.375,5.375,1.0102309999999999,848800
1995-02-22,5.375,5.47,5.375,5.4375,1.0219770000000001,973200
1995-02-23,5.5325,5.5625,5.345,5.375,1.0102309999999999,5511600
1995-02-24,5.3125,5.3125,5.1575,5.1875,0.9749899999999999,4876000
1995-02-27,5.1575,5.2825,5.125,5.22,0.9810989999999999,6700800
1995-02-28,5.3125,5.345,5.22,5.25,0.9867370000000001,2252000
1995-03-01,5.22,5.25,5.1575,5.1575,0.969352,2389600
1995-03-02,5.125,5.1875,5.125,5.1575,0.969352,2723600
1995-03-03,5.125,5.1875,5.095,5.1875,0.9749899999999999,2834800
1995-03-06,5.125,5.1575,5.095,5.1575,0.969352,4203200
1995-03-07,5.125,5.1575,5.0625,5.095,0.9576049999999999,1627600
1995-03-08,5.095,5.125,5.0625,5.125,0.9632440000000001,3860400
1995-03-09,5.125,5.1575,5.095,5.1575,0.969352,2703600
1995-03-10,5.0625,5.1875,5.0625,5.1575,1.012543,3163200
1995-03-13,5.125,5.1575,5.095,5.125,1.006163,864800
1995-03-14,5.095,5.1575,5.095,5.1575,1.012543,3000800
1995-03-15,5.125,5.1875,5.125,5.1875,1.018433,923600
1995-03-16,5.1875,5.22,5.1575,5.1875,1.018433,2555200
1995-03-17,5.125,5.1875,5.125,5.1575,1.012543,2600400
1995-03-20,5.125,5.1875,5.095,5.1575,1.012543,1420800
1995-03-21,5.125,5.1875,5.125,5.125,1.006163,1103200
1995-03-22,5.125,5.1575,5.095,5.125,1.006163,779200
1995-03-23,5.125,5.1575,5.095,5.1575,1.012543,2635600
1995-03-24,5.125,5.125,5.0625,5.125,1.006163,1117600
1995-03-27,5.125,5.125,5.0625,5.095,1.000273,2788000
1995-03-28,5.095,5.095,4.97,5.0,0.9816219999999999,2261200
1995-03-29,5.0,5.0625,4.97,5.0625,0.993893,1644000
1995-03-30,5.125,5.125,5.0,5.0625,0.993893,1148000
